file_name,.pred_fruit,.pred_flower,.logit_fruit,.logit_flower,.class_flower,.class_fruit,.equivocal_flower,.equivocal_fruit
128726634.jpeg,0.56884765625,0.018798828125,0.276611328125,-3.955078125,Not Detected,Detected,Unequivocal,Equivocal
128731893.jpeg,0.517578125,0.034088134765625,0.0704345703125,-3.34375,Not Detected,Not Detected,Unequivocal,Equivocal
128735045.jpg,0.96142578125,0.006122589111328125,3.212890625,-5.08984375,Not Detected,Detected,Unequivocal,Unequivocal
128735542.jpg,0.32080078125,0.259765625,-0.75048828125,-1.046875,Not Detected,Not Detected,Unequivocal,Equivocal
128735558.jpg,0.76904296875,0.04779052734375,1.2041015625,-2.9921875,Not Detected,Detected,Unequivocal,Unequivocal
128735594.jpg,0.2081298828125,0.149169921875,-1.3359375,-1.7412109375,Not Detected,Not Detected,Unequivocal,Unequivocal
128740839.jpg,0.242431640625,0.1851806640625,-1.1396484375,-1.4814453125,Not Detected,Not Detected,Unequivocal,Equivocal
128867982.jpg,0.9736328125,0.01302337646484375,3.60546875,-4.328125,Not Detected,Detected,Unequivocal,Unequivocal
129013049.jpeg,0.01085662841796875,0.99169921875,-4.51171875,4.796875,Detected,Not Detected,Unequivocal,Unequivocal
129090481.jpg,0.12139892578125,0.39892578125,-1.9794921875,-0.40966796875,Not Detected,Not Detected,Equivocal,Unequivocal
12909895.jpg,0.158447265625,0.0982666015625,-1.669921875,-2.216796875,Not Detected,Not Detected,Unequivocal,Unequivocal
129451968.jpg,0.022796630859375,0.9609375,-3.7578125,3.19921875,Detected,Not Detected,Unequivocal,Unequivocal
129457685.jpg,0.5771484375,0.1087646484375,0.311279296875,-2.103515625,Not Detected,Detected,Unequivocal,Equivocal
129570207.jpg,0.246337890625,0.32666015625,-1.1181640625,-0.72314453125,Not Detected,Not Detected,Equivocal,Equivocal
129583078.jpg,0.0306243896484375,0.98486328125,-3.455078125,4.19140625,Detected,Not Detected,Unequivocal,Unequivocal
129832777.jpeg,0.740234375,0.181640625,1.0478515625,-1.5048828125,Not Detected,Detected,Unequivocal,Equivocal
129844214.jpeg,0.533203125,0.426025390625,0.1334228515625,-0.2978515625,Not Detected,Detected,Equivocal,Equivocal
130523418.jpeg,0.040985107421875,0.1187744140625,-3.15234375,-2.00390625,Not Detected,Not Detected,Unequivocal,Unequivocal
130554438.jpg,0.06939697265625,0.057708740234375,-2.595703125,-2.79296875,Not Detected,Not Detected,Unequivocal,Unequivocal
130692933.jpg,0.1807861328125,0.94189453125,-1.5107421875,2.78125,Detected,Not Detected,Unequivocal,Unequivocal
130717947.jpeg,0.15576171875,0.33154296875,-1.6904296875,-0.70068359375,Not Detected,Not Detected,Equivocal,Unequivocal
130962036.jpeg,0.3427734375,0.59765625,-0.65087890625,0.395263671875,Not Detected,Not Detected,Equivocal,Equivocal
130968569.jpg,0.027587890625,0.9990234375,-3.5625,6.8828125,Detected,Not Detected,Unequivocal,Unequivocal
131002052.jpg,0.107421875,0.861328125,-2.1171875,1.828125,Detected,Not Detected,Unequivocal,Unequivocal
131062106.jpg,0.115966796875,0.7509765625,-2.03125,1.103515625,Not Detected,Not Detected,Equivocal,Unequivocal
13113831.jpeg,0.015960693359375,0.1513671875,-4.12109375,-1.7236328125,Not Detected,Not Detected,Unequivocal,Unequivocal
131208468.jpeg,0.8037109375,0.018798828125,1.4111328125,-3.955078125,Not Detected,Detected,Unequivocal,Unequivocal
131208846.jpeg,0.255615234375,0.45556640625,-1.0693359375,-0.177978515625,Not Detected,Not Detected,Equivocal,Equivocal
131286117.jpg,0.06915283203125,0.237548828125,-2.599609375,-1.166015625,Not Detected,Not Detected,Unequivocal,Unequivocal
132100959.jpeg,0.880859375,0.020172119140625,1.9990234375,-3.8828125,Not Detected,Detected,Unequivocal,Unequivocal
132335731.jpg,0.027801513671875,0.99560546875,-3.5546875,5.4453125,Detected,Not Detected,Unequivocal,Unequivocal
132335741.jpg,0.00464630126953125,0.99853515625,-5.3671875,6.6796875,Detected,Not Detected,Unequivocal,Unequivocal
132586365.jpg,0.243408203125,0.05126953125,-1.1337890625,-2.91796875,Not Detected,Not Detected,Unequivocal,Equivocal
13285757.jpg,0.01384735107421875,0.99853515625,-4.265625,6.62109375,Detected,Not Detected,Unequivocal,Unequivocal
13317471.jpg,0.1553955078125,0.36181640625,-1.693359375,-0.56787109375,Not Detected,Not Detected,Equivocal,Unequivocal
133233175.jpg,0.623046875,0.2529296875,0.50146484375,-1.0830078125,Not Detected,Detected,Unequivocal,Equivocal
